都道府県,大学名,入学者数,種別
山梨県,山梨学院大学,900,私立
静岡県,静岡大学,2100,国立
静岡県,浜松医科大学,200,国立
静岡県,静岡県立大学,700,公立
静岡県,静岡文化芸術大学,250,公立
静岡県,常葉大学,2000,私立
富山県,富山大学,1800,国立
富山県,富山県立大学,350,公立
石川県,金沢大学,1800,国立
石川県,金沢美術工芸大学,150,公立
石川県,金沢工業大学,1700,私立
福井県,福井大学,1100,国立
福井県,福井県立大学,400,公立
岐阜県,岐阜大学,1300,国立
岐阜県,岐阜薬科大学,150,公立
岐阜県,中部学院大学,500,私立
三重県,三重大学,1400,国立
三重県,三重県立看護大学,100,公立
三重県,皇學館大学,700,私立
滋賀県,滋賀大学,900,国立
滋賀県,滋賀医科大学,150,国立
滋賀県,滋賀県立大学,500,公立
滋賀県,立命館大学BKC,1500,私立
奈良県,奈良女子大学,500,国立
奈良県,奈良教育大学,350,国立
奈良県,奈良県立大学,200,公立
奈良県,天理大学,600,私立
奈良県,近畿大学奈良キャンパス,600,私立
和歌山県,和歌山大学,900,国立
和歌山県,和歌山県立医科大学,150,公立
鳥取県,鳥取大学,1100,国立
鳥取県,公立鳥取環境大学,300,公立
島根県,島根大学,1100,国立
島根県,島根県立大学,400,公立
山口県,山口大学,2000,国立
山口県,下関市立大学,600,公立
山口県,山口県立大学,400,公立
徳島県,徳島大学,1400,国立
徳島県,鳴門教育大学,300,国立
香川県,香川大学,1400,国立
香川県,香川県立保健医療大学,100,公立
愛媛県,愛媛大学,2000,国立
愛媛県,愛媛県立医療技術大学,100,公立
愛媛県,松山大学,1500,私立
高知県,高知大学,1100,国立
高知県,高知県立大学,400,公立
高知県,高知工科大学,600,公立
佐賀県,佐賀大学,1300,国立
長崎県,長崎大学,1800,国立
長崎県,長崎県立大学,650,公立
熊本県,熊本大学,1900,国立
熊本県,熊本県立大学,550,公立
大分県,大分大学,1200,国立
大分県,立命館アジア太平洋大学,800,私立
宮崎県,宮崎大学,1100,国立
宮崎県,宮崎公立大学,300,公立
鹿児島県,鹿児島大学,2100,国立
鹿児島県,鹿児島県立短期大学,300,公立
沖縄県,琉球大学,1700,国立
沖縄県,沖縄県立芸術大学,100,公立
沖縄県,名桜大学,450,公立
沖縄県,沖縄国際大学,1500,私立
沖縄県,沖縄大学,600,私立
